query_id,phase2_mode,symptom_text,predicted_diseases,predicted_symptoms,recommended,relevant,half_confirmed_in_top20_total,selection_sources,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr
eval_0012,verified_xgb_ranker,My headache is so bad I'm seeing zigzag lines and I've thrown up twice. I can't function.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""headache"", ""confidence"": 0.9740410493112629}, {""name"": ""visual_disturbances"", ""confidence"": 1.0}, {""name"": ""vomiting"", ""confidence"": 0.03949036148641878}]",propranolol|amitriptyline|diclofenac,propranolol,11,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0008,verified_xgb_ranker,I get frequent headaches and often feel down and depressed.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""depression"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 0.8067821073040862}]",propranolol|rizatriptan|amitriptyline,gabapentin|propranolol,11,half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0005,verified_xgb_ranker,"I have a runny nose, cough, and I'm always tired. Allergies or just a cold?","[{""name"": ""allergy"", ""confidence"": 0.99}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 0.8090259020933156}, {""name"": ""fatigue"", ""confidence"": 0.9981736204346114}, {""name"": ""runny_nose"", ""confidence"": 1.0}]",prednisone|promethazine|cyproheptadine|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|chlorpheniramine / hydrocodone,promethazine|cyproheptadine,21,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.4,1.0,1.0,0.693426,0.2,1.0,1.0,0.693426,0.1,1.0,1.0,0.693426,0.5
eval_0027,verified_xgb_ranker,Stiffness in my hips and knees makes it hard to walk after resting. Should I see a doctor?,"[{""name"": ""arthritis"", ""confidence"": 1.0}]","[{""name"": ""movement_stiffness"", ""confidence"": 0.8667624087608665}, {""name"": ""painful_walking"", ""confidence"": 0.008258667421495839}]",diclofenac|prednisone|enbrel,diclofenac|naproxen|triamcinolone,13,half_confirmed|half_confirmed|half_confirmed,0.2,0.333333,1.0,0.509097,0.1,0.333333,1.0,0.509097,0.05,0.333333,1.0,0.509097,1.0
eval_0007,verified_xgb_ranker,"Lately, I've been having headaches, pain when urinating, and I'm easily annoyed. Could these be connected?","[{""name"": ""migraine"", ""confidence"": 0.98}]","[{""name"": ""headache"", ""confidence"": 0.9527310741984026}, {""name"": ""visual_disturbances"", ""confidence"": 0.38011150117253745}]",propranolol|rizatriptan|relpax,propranolol|clonidine|amitriptyline|elavil,10,half_confirmed|half_confirmed|half_confirmed,0.2,0.25,1.0,0.413557,0.1,0.25,1.0,0.413557,0.05,0.25,1.0,0.413557,1.0
eval_0034,verified_xgb_ranker,I have pain in my stomach and my knees are swollen. I'm not sure if these issues are related or separate.,"[{""name"": ""arthritis"", ""confidence"": 0.67}]","[{""name"": ""abdominal_pain"", ""confidence"": 0.43408448771429514}, {""name"": ""swelling_joints"", ""confidence"": 0.8612214518673681}]",prednisone|diclofenac|methylprednisolone,prednisone|methylprednisolone|triamcinolone|adalimumab|humira|infliximab|remicade,13,half_confirmed|half_confirmed|half_confirmed,0.4,0.285714,1.0,0.50874,0.2,0.285714,1.0,0.412314,0.1,0.285714,1.0,0.412314,1.0
eval_0036,verified_xgb_ranker,My joints are stiff and I have a weird rash that itches. Could these be connected?,"[{""name"": ""arthritis"", ""confidence"": 1.0}, {""name"": ""psoriasis"", ""confidence"": 0.4}]","[{""name"": ""itching"", ""confidence"": 1.0}, {""name"": ""joint_pain"", ""confidence"": 0.03059652023261833}, {""name"": ""movement_stiffness"", ""confidence"": 0.7418497563564299}, {""name"": ""skin_rash"", ""confidence"": 0.9375158821966251}]",prednisone|methotrexate|dexamethasone|prednisone|methotrexate|dexamethasone,doxycycline|prednisone,19,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.4,1.0,1.0,0.877215,0.2,1.0,1.0,0.877215,0.1,1.0,1.0,0.877215,1.0
eval_0037,verified_xgb_ranker,I woke up with a stiff neck and now my back is also hurting. Could they be connected?,"[{""name"": ""arthritis"", ""confidence"": 0.46}, {""name"": ""cervical_spondylosis"", ""confidence"": 0.97}]","[{""name"": ""neck_pain"", ""confidence"": 1.0}, {""name"": ""stiff_neck"", ""confidence"": 0.8805633836363593}]",naproxen|ibuprofen|triamcinolone|botox|baclofen|onabotulinumtoxina,diclofenac|onabotulinumtoxina|botox,12,half_confirmed|half_confirmed|half_confirmed|phase2_fallback|phase2_fallback|phase2_fallback,0.2,0.333333,1.0,0.163697,0.2,0.666667,1.0,0.29909,0.1,0.666667,1.0,0.29909,0.25
eval_0023,verified_xgb_ranker,My moods are all over the place and my muscles feel weak. Could it be related to high blood pressure or thyroid issues?,"[{""name"": ""hypertension"", ""confidence"": 0.01}, {""name"": ""hyperthyroidism"", ""confidence"": 1.0}]","[{""name"": ""mood_swings"", ""confidence"": 1.0}, {""name"": ""muscle_weakness"", ""confidence"": 1.0}]",clonidine|catapres|hytrin|aluminum chloride hexahydrate|drysol|hypercare,thyroid desiccated|armour thyroid|levothyroxine,6,half_confirmed|half_confirmed|half_confirmed|phase2_fallback|phase2_fallback|phase2_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0039,verified_xgb_ranker,"I've had a cough and congestion for days, and now I'm finding it hard to catch my breath sometimes.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""congestion"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|medrol dosepak|triamcinolone|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|prednisone,prednisone|methylprednisolone,6,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|phase2_fallback,0.2,0.5,1.0,0.613147,0.2,1.0,1.0,0.831555,0.1,1.0,1.0,0.831555,1.0
eval_0029,verified_xgb_ranker,I've been coughing up phlegm and feel tired all the time. Could this be asthma?,"[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 0.6611587076285541}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""mucoid_sputum"", ""confidence"": 1.0}, {""name"": ""phlegm"", ""confidence"": 0.9311820638133785}]",prednisone|medrol dosepak|triamcinolone,prednisone,5,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0033,verified_xgb_ranker,"My daughter has a couple of blisters and red sores on her hands. They don't itch, but I'm keeping an eye on them.","[{""name"": ""impetigo"", ""confidence"": 0.94}]","[{""name"": ""blister"", ""confidence"": 1.0}, {""name"": ""red_sore_around_nose"", ""confidence"": 0.5148600599946715}]",retapamulin|altabax|cefuroxime,cefuroxime|mupirocin|retapamulin,3,half_confirmed|half_confirmed|half_confirmed,0.4,0.666667,1.0,0.703918,0.2,0.666667,1.0,0.703918,0.1,0.666667,1.0,0.703918,1.0
eval_0041,verified_xgb_ranker,"I always feel like I need to pee, my urine smells odd, and I have itching down there. What's going on?","[{""name"": ""urinary_tract_infection"", ""confidence"": 1.0}]","[{""name"": ""continuous_feel_of_urine"", ""confidence"": 0.9835338052359116}, {""name"": ""foul_smell_of urine"", ""confidence"": 1.0}, {""name"": ""itching"", ""confidence"": 1.0}]",sulfamethoxazole / trimethoprim|azithromycin|bactrim,doxycycline|azithromycin|sulfamethoxazole / trimethoprim|bactrim|fluconazole,8,half_confirmed|half_confirmed|half_confirmed,0.6,0.6,1.0,0.717734,0.3,0.6,1.0,0.717734,0.15,0.6,1.0,0.717734,1.0
eval_0018,verified_xgb_ranker,My friend gets these awful headaches where she sees flashing lights before the pain starts.,"[{""name"": ""migraine"", ""confidence"": 1.0}]","[{""name"": ""headache"", ""confidence"": 0.760199989389204}, {""name"": ""visual_disturbances"", ""confidence"": 1.0}]",propranolol|rizatriptan|treximet,gabapentin|propranolol,11,half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0045,verified_xgb_ranker,"I get pain in my upper belly, especially after eating, along with acid reflux and indigestion.","[{""name"": ""gerd"", ""confidence"": 1.0}, {""name"": ""peptic_ulcer_diseae"", ""confidence"": 1.0}]","[{""name"": ""abdominal_pain"", ""confidence"": 0.8131433131744776}, {""name"": ""acidity"", ""confidence"": 1.0}, {""name"": ""indigestion"", ""confidence"": 1.0}]",rabeprazole|lansoprazole|esomeprazole|rabeprazole|lansoprazole|esomeprazole,rabeprazole|esomeprazole|lansoprazole,22,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,1.0,1.666667,1.0,1.383649,0.6,2.0,1.0,1.55081,0.3,2.0,1.0,1.55081,1.0
eval_0047,verified_xgb_ranker,I noticed some red sores around my son's nose that have turned into yellow crusts. What could this be?,"[{""name"": ""impetigo"", ""confidence"": 1.0}]","[{""name"": ""red_sore_around_nose"", ""confidence"": 1.0}, {""name"": ""yellow_crust_ooze"", ""confidence"": 1.0}]",retapamulin|altabax|cefuroxime,mupirocin|retapamulin,3,half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.613147,0.1,0.5,1.0,0.613147,0.05,0.5,1.0,0.613147,1.0
eval_0049,verified_xgb_ranker,"Sometimes after eating, I feel a tightness in my chest and find it hard to breathe. Is this normal?","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""chest_pain"", ""confidence"": 1.0}]",calcium carbonate / simethicone|metronidazole|xanax,aciphex|dexlansoprazole|rabeprazole,4,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0054,verified_xgb_ranker,"I usually have asthma, but now with this cold, I'm coughing more and feel more breathless than usual.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 0.86}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""congestion"", ""confidence"": 0.11601767744180329}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|medrol dosepak|triamcinolone|prednisone|doxycycline|azithromycin,prednisone|methylprednisolone,5,half_confirmed|half_confirmed|half_confirmed|phase2_fallback|phase2_fallback|phase2_fallback,0.4,1.0,1.0,0.877215,0.2,1.0,1.0,0.877215,0.1,1.0,1.0,0.877215,1.0
eval_0053,verified_xgb_ranker,"I have a cold with congestion and cough, but now I'm struggling to breathe and my chest hurts. It's getting worse.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.95}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.9563113395658812}, {""name"": ""chest_pain"", ""confidence"": 0.9947042950848263}, {""name"": ""congestion"", ""confidence"": 0.9866302484398521}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|triamcinolone|medrol dosepak|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|chlorpheniramine / hydrocodone,prednisone|methylprednisolone,8,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.613147,0.1,0.5,1.0,0.613147,0.05,0.5,1.0,0.613147,1.0
eval_0058,verified_xgb_ranker,"Lately, I've been getting chills and a persistent headache. Should I be worried?","[{""name"": ""malaria"", ""confidence"": 1.0}]","[{""name"": ""chills"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 1.0}]",doxycycline|hydroxychloroquine|lithium,doxycycline|clindamycin,2,half_confirmed|half_confirmed|phase2_fallback,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0030,verified_xgb_ranker,"My friend has these sneezing fits and a persistent cough, and she's always tired. I wonder if it's allergies or something else.","[{""name"": ""allergy"", ""confidence"": 1.0}]","[{""name"": ""continuous_sneezing"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 0.3692813577984285}, {""name"": ""fatigue"", ""confidence"": 1.0}]",prednisone|promethazine|cyproheptadine,prednisone|promethazine|cyproheptadine|methylprednisolone,14,half_confirmed|half_confirmed|half_confirmed,0.6,0.75,1.0,0.798442,0.3,0.75,1.0,0.798442,0.15,0.75,1.0,0.798442,1.0
eval_0051,verified_xgb_ranker,"I'm breathless even when resting, and my chest feels tight. I don't know what to do.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.47}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""chest_pain"", ""confidence"": 0.9694901706213485}]",prednisone|medrol dosepak|triamcinolone,prednisone,4,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0050,verified_xgb_ranker,"My dad has asthma, and I've been feeling breathless after mild activity. Should I be concerned?","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""family_history"", ""confidence"": 0.992904717488776}]",prednisone|xopenex|levalbuterol,prednisone,3,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0055,verified_xgb_ranker,"I'm so tired all the time, and my vision gets blurry sometimes. Also, I've been moody and irritable.","[{""name"": ""diabetes"", ""confidence"": 0.6}, {""name"": ""migraine"", ""confidence"": 0.15}]","[{""name"": ""blurred_and_distorted_vision"", ""confidence"": 0.854868491069307}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""irritability"", ""confidence"": 0.4623857091789864}]",pregabalin|liraglutide|victoza|amitriptyline|cyproheptadine|topiramate,gabapentin|amitriptyline,11,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.2,0.5,1.0,0.264068,0.1,0.5,1.0,0.264068,0.05,0.5,1.0,0.264068,0.25
eval_0059,verified_xgb_ranker,"I can't catch my breath, my heart is racing, and I have sharp chest pain when I breathe in.","[{""name"": ""pneumonia"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.8605542355857062}, {""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}]",azithromycin|sulfamethoxazole / trimethoprim|ceftriaxone,prednisone,7,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0057,verified_xgb_ranker,"I can't catch my breath even when resting, and I'm always tired. My cough is getting worse.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.46}, {""name"": ""tuberculosis"", ""confidence"": 0.37}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 0.7263730659002785}, {""name"": ""fatigue"", ""confidence"": 0.9691673349700557}]",prednisone|xopenex|levalbuterol|prednisone|aciphex|doxycycline,prednisone,3,half_confirmed|half_confirmed|half_confirmed|phase2_fallback|phase2_fallback|phase2_fallback,0.4,2.0,1.0,1.430677,0.2,2.0,1.0,1.430677,0.1,2.0,1.0,1.430677,1.0
eval_0042,verified_xgb_ranker,"I wake up stiff every day, and lately, I've been sneezing constantly. Could this be related to the weather?","[{""name"": ""allergy"", ""confidence"": 0.98}, {""name"": ""arthritis"", ""confidence"": 1.0}]","[{""name"": ""continuous_sneezing"", ""confidence"": 1.0}, {""name"": ""movement_stiffness"", ""confidence"": 1.0}]",prednisone|triamcinolone|cyproheptadine|prednisone|methylprednisolone|medrol dosepak,prednisone|triamcinolone|methylprednisolone,24,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.8,1.333333,1.0,1.14901,0.4,1.333333,1.0,1.14901,0.2,1.333333,1.0,1.14901,1.0
eval_0070,verified_xgb_ranker,"I have a cough that produces phlegm, and I get winded easily.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.92}]","[{""name"": ""cough"", ""confidence"": 0.9303423044656093}, {""name"": ""phlegm"", ""confidence"": 0.17001069792687556}]",prednisone|medrol dosepak|triamcinolone,prednisone,4,half_confirmed|half_confirmed|half_confirmed,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0068,verified_xgb_ranker,"I have headaches, a nagging cough, and I'm always tired. Could these be connected?","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 1.0}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 0.9611398888760273}]",nirmatrelvir / ritonavir|paxlovid|acyclovir,prednisone|diltiazem,4,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0072,verified_xgb_ranker,My neighbor is in so much pain from his hemorrhoids that he's bleeding heavily.,"[{""name"": ""dimorphic_hemmorhoids(piles)"", ""confidence"": 0.79}]","[{""name"": ""bloody_stool"", ""confidence"": 1.0}, {""name"": ""pain_during_bowel_movements"", ""confidence"": 1.0}]",proctofoam|hydrocortisone / pramoxine|pramoxine,hydrocortisone|pramoxine|proctofoam,0,phase2_fallback|phase2_fallback|phase2_fallback,0.4,0.666667,1.0,0.763645,0.2,0.666667,1.0,0.763645,0.1,0.666667,1.0,0.763645,1.0
eval_0069,verified_xgb_ranker,"Fatigue, joint pain, and muscle weakness – could these symptoms be linked? Find out now.","[{""name"": ""arthritis"", ""confidence"": 0.61}]","[{""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""joint_pain"", ""confidence"": 0.637484880336779}, {""name"": ""muscle_weakness"", ""confidence"": 1.0}]",prednisone|methylprednisolone|triamcinolone,prednisone|methylprednisolone|triamcinolone|naproxen,7,half_confirmed|half_confirmed|half_confirmed,0.6,0.75,1.0,0.831872,0.3,0.75,1.0,0.831872,0.15,0.75,1.0,0.831872,1.0
eval_0048,verified_xgb_ranker,"My aunt has been losing weight, coughing up blood, and her joints are swollen. It's a mess.","[{""name"": ""tuberculosis"", ""confidence"": 1.0}]","[{""name"": ""blood_in_sputum"", ""confidence"": 0.9203542840601026}, {""name"": ""joint_pain"", ""confidence"": 0.015206551766029483}, {""name"": ""weight_loss"", ""confidence"": 1.0}]",doxycycline|prednisone|triamcinolone,prednisone|triamcinolone|moxifloxacin|ciprofloxacin,0,phase2_fallback|phase2_fallback|phase2_fallback,0.4,0.5,1.0,0.441492,0.2,0.5,1.0,0.441492,0.1,0.5,1.0,0.441492,0.5
eval_0066,verified_xgb_ranker,"I woke up with such severe pain in my hands that I couldn't make a fist, and they're swollen.","[{""name"": ""arthritis"", ""confidence"": 0.72}]","[{""name"": ""swelling_joints"", ""confidence"": 0.8861883435794772}]",prednisone|acetaminophen / aspirin / caffeine|naproxen,diclofenac|tramadol,13,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0074,verified_xgb_ranker,"My nose won't stop running, I'm coughing, and I'm so tired. Is it a cold or allergies?","[{""name"": ""allergy"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""congestion"", ""confidence"": 0.030395264608068722}, {""name"": ""cough"", ""confidence"": 0.926693267411687}, {""name"": ""fatigue"", ""confidence"": 0.646198509793497}, {""name"": ""runny_nose"", ""confidence"": 0.9966515535611723}]",prednisone|promethazine|cyproheptadine|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|chlorpheniramine / hydrocodone,promethazine|cyproheptadine,21,half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed|half_confirmed,0.4,1.0,1.0,0.693426,0.2,1.0,1.0,0.693426,0.1,1.0,1.0,0.693426,0.5
eval_0076,verified_xgb_ranker,"Someone at the gym said their partner's knees give out sometimes, making it painful to stand up.","[{""name"": ""arthritis"", ""confidence"": 0.23}]","[{""name"": ""joint_pain"", ""confidence"": 0.601988268725934}]",naproxen|prednisone|enbrel,diclofenac|tramadol|acetaminophen / hydrocodone,17,half_confirmed|half_confirmed|half_confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0061,verified_xgb_ranker,"I've been losing weight without trying, and on top of that, my skin is breaking out with painful pimples. What could this mean?","[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""pus_filled_pimples"", ""confidence"": 1.0}, {""name"": ""weight_loss"", ""confidence"": 0.9910647851124634}]",tretinoin|doxycycline|isotretinoin,tretinoin|doxycycline|minocycline,13,half_confirmed|half_confirmed|half_confirmed,0.4,0.666667,1.0,0.809953,0.2,0.666667,1.0,0.809953,0.1,0.666667,1.0,0.809953,1.0
