query_id,symptom_text,predicted_diseases,predicted_symptoms,recommended,relevant,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr
eval_0049,"Sometimes after eating, I feel a tightness in my chest and find it hard to breathe. Is this normal?","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""chest_pain"", ""confidence"": 1.0}]",calcium carbonate / simethicone|metronidazole|mometasone,aciphex|dexlansoprazole|rabeprazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0054,"I usually have asthma, but now with this cold, I'm coughing more and feel more breathless than usual.","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 0.86}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""congestion"", ""confidence"": 0.11601767744180329}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|kenalog-40|triamcinolone|doxycycline|prednisone|azithromycin,prednisone|methylprednisolone,0.4,1.0,1.0,0.850345,0.2,1.0,1.0,0.850345,0.1,1.0,1.0,0.850345,1.0
eval_0053,"I have a cold with congestion and cough, but now I'm struggling to breathe and my chest hurts. It's getting worse.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.95}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.9563113395658812}, {""name"": ""chest_pain"", ""confidence"": 0.9947042950848263}, {""name"": ""congestion"", ""confidence"": 0.9866302484398521}, {""name"": ""cough"", ""confidence"": 1.0}]",prednisone|kenalog-40|triamcinolone|doxycycline|prednisone|azithromycin,prednisone|methylprednisolone,0.4,1.0,1.0,0.850345,0.2,1.0,1.0,0.850345,0.1,1.0,1.0,0.850345,1.0
eval_0058,"Lately, I've been getting chills and a persistent headache. Should I be worried?","[{""name"": ""malaria"", ""confidence"": 1.0}]","[{""name"": ""chills"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 1.0}]",doxycycline|hydroxychloroquine|lithium,doxycycline|clindamycin,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0030,"My friend has these sneezing fits and a persistent cough, and she's always tired. I wonder if it's allergies or something else.","[{""name"": ""allergy"", ""confidence"": 1.0}]","[{""name"": ""continuous_sneezing"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 0.3692813577984285}, {""name"": ""fatigue"", ""confidence"": 1.0}]",cyproheptadine|promethazine|prednisone,prednisone|promethazine|cyproheptadine|methylprednisolone,0.6,0.75,1.0,0.87247,0.3,0.75,1.0,0.87247,0.15,0.75,1.0,0.87247,1.0
eval_0051,"I'm breathless even when resting, and my chest feels tight. I don't know what to do.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.47}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""chest_pain"", ""confidence"": 0.9694901706213485}]",prednisone|kenalog-40|triamcinolone,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0050,"My dad has asthma, and I've been feeling breathless after mild activity. Should I be concerned?","[{""name"": ""bronchial_asthma"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""family_history"", ""confidence"": 0.992904717488776}]",prednisone|xopenex|levalbuterol,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0055,"I'm so tired all the time, and my vision gets blurry sometimes. Also, I've been moody and irritable.","[{""name"": ""diabetes"", ""confidence"": 0.6}, {""name"": ""migraine"", ""confidence"": 0.15}]","[{""name"": ""blurred_and_distorted_vision"", ""confidence"": 0.854868491069307}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""irritability"", ""confidence"": 0.4623857091789864}]",pregabalin|insulin regular|liraglutide|amitriptyline|cyproheptadine|topiramate,gabapentin|amitriptyline,0.2,0.5,1.0,0.264068,0.1,0.5,1.0,0.264068,0.05,0.5,1.0,0.264068,0.25
eval_0059,"I can't catch my breath, my heart is racing, and I have sharp chest pain when I breathe in.","[{""name"": ""pneumonia"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.8605542355857062}, {""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}]",azithromycin|ceftriaxone|zyvox,prednisone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0057,"I can't catch my breath even when resting, and I'm always tired. My cough is getting worse.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.46}, {""name"": ""tuberculosis"", ""confidence"": 0.37}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 0.7263730659002785}, {""name"": ""fatigue"", ""confidence"": 0.9691673349700557}]",prednisone|xopenex|levalbuterol|aciphex|doxycycline|prednisone,prednisone,0.2,1.0,1.0,1.0,0.2,2.0,1.0,1.356207,0.1,2.0,1.0,1.356207,1.0
eval_0042,"I wake up stiff every day, and lately, I've been sneezing constantly. Could this be related to the weather?","[{""name"": ""allergy"", ""confidence"": 0.98}, {""name"": ""arthritis"", ""confidence"": 1.0}]","[{""name"": ""continuous_sneezing"", ""confidence"": 1.0}, {""name"": ""movement_stiffness"", ""confidence"": 1.0}]",prednisone|triamcinolone|corticotropin|prednisone|methylprednisolone|kenalog-40,prednisone|triamcinolone|methylprednisolone,0.8,1.333333,1.0,1.14901,0.4,1.333333,1.0,1.14901,0.2,1.333333,1.0,1.14901,1.0
eval_0070,"I have a cough that produces phlegm, and I get winded easily.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.92}]","[{""name"": ""cough"", ""confidence"": 0.9303423044656093}, {""name"": ""phlegm"", ""confidence"": 0.17001069792687556}]",prednisone|kenalog-40|triamcinolone,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
eval_0068,"I have headaches, a nagging cough, and I'm always tired. Could these be connected?","[{""name"": ""others"", ""confidence"": 1.0}]","[{""name"": ""cough"", ""confidence"": 1.0}, {""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""headache"", ""confidence"": 0.9611398888760273}]",nirmatrelvir / ritonavir|paxlovid|pfizer-biontech covid-19 vaccine,prednisone|diltiazem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0072,My neighbor is in so much pain from his hemorrhoids that he's bleeding heavily.,"[{""name"": ""dimorphic_hemmorhoids(piles)"", ""confidence"": 0.79}]","[{""name"": ""bloody_stool"", ""confidence"": 1.0}, {""name"": ""pain_during_bowel_movements"", ""confidence"": 1.0}]",proctofoam|pramoxine|dibucaine,hydrocortisone|pramoxine|proctofoam,0.4,0.666667,1.0,0.830301,0.2,0.666667,1.0,0.830301,0.1,0.666667,1.0,0.830301,1.0
eval_0069,"Fatigue, joint pain, and muscle weakness – could these symptoms be linked? Find out now.","[{""name"": ""arthritis"", ""confidence"": 0.61}]","[{""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""joint_pain"", ""confidence"": 0.637484880336779}, {""name"": ""muscle_weakness"", ""confidence"": 1.0}]",prednisone|methylprednisolone|hydrocortisone,prednisone|methylprednisolone|triamcinolone|naproxen,0.4,0.5,1.0,0.636682,0.2,0.5,1.0,0.636682,0.1,0.5,1.0,0.636682,1.0
eval_0048,"My aunt has been losing weight, coughing up blood, and her joints are swollen. It's a mess.","[{""name"": ""tuberculosis"", ""confidence"": 1.0}]","[{""name"": ""blood_in_sputum"", ""confidence"": 0.9203542840601026}, {""name"": ""joint_pain"", ""confidence"": 0.015206551766029483}, {""name"": ""weight_loss"", ""confidence"": 1.0}]",doxycycline|prednisone|aciphex,prednisone|triamcinolone|moxifloxacin|ciprofloxacin,0.2,0.25,1.0,0.246302,0.1,0.25,1.0,0.246302,0.05,0.25,1.0,0.246302,0.5
eval_0066,"I woke up with such severe pain in my hands that I couldn't make a fist, and they're swollen.","[{""name"": ""arthritis"", ""confidence"": 0.72}]","[{""name"": ""swelling_joints"", ""confidence"": 0.8861883435794772}]",diclofenac|stelara|enbrel,diclofenac|tramadol,0.2,0.5,1.0,0.703918,0.1,0.5,1.0,0.703918,0.05,0.5,1.0,0.703918,1.0
eval_0074,"My nose won't stop running, I'm coughing, and I'm so tired. Is it a cold or allergies?","[{""name"": ""allergy"", ""confidence"": 1.0}, {""name"": ""common_cold"", ""confidence"": 1.0}]","[{""name"": ""congestion"", ""confidence"": 0.030395264608068722}, {""name"": ""cough"", ""confidence"": 0.926693267411687}, {""name"": ""fatigue"", ""confidence"": 0.646198509793497}, {""name"": ""runny_nose"", ""confidence"": 0.9966515535611723}]",cyproheptadine|promethazine|prednisone|dexbrompheniramine / pseudoephedrine|drixoral cold and allergy|chlorpheniramine / hydrocodone,promethazine|cyproheptadine,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
eval_0076,"Someone at the gym said their partner's knees give out sometimes, making it painful to stand up.","[{""name"": ""arthritis"", ""confidence"": 0.23}]","[{""name"": ""joint_pain"", ""confidence"": 0.601988268725934}]",stelara|enbrel|ustekinumab,diclofenac|tramadol|acetaminophen / hydrocodone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0061,"I've been losing weight without trying, and on top of that, my skin is breaking out with painful pimples. What could this mean?","[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""pus_filled_pimples"", ""confidence"": 1.0}, {""name"": ""weight_loss"", ""confidence"": 0.9910647851124634}]",tretinoin|doxycycline|minocycline,tretinoin|doxycycline|minocycline,0.6,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0
eval_0082,My moods are all over the place and I get irritated easily. Could it be my thyroid?,"[{""name"": ""hyperthyroidism"", ""confidence"": 0.93}, {""name"": ""hypothyroidism"", ""confidence"": 0.85}]","[{""name"": ""mood_swings"", ""confidence"": 1.0}]",aluminum chloride hexahydrate|drysol|gabapentin|thyroid desiccated|westhroid|armour thyroid,thyroid desiccated|armour thyroid|levothyroxine,0.2,0.333333,1.0,0.163697,0.2,0.666667,1.0,0.29909,0.1,0.666667,1.0,0.29909,0.25
eval_0060,"I can't bend my fingers properly, and walking is becoming a chore because of the pain in my hips.","[{""name"": ""arthritis"", ""confidence"": 1.0}]","[{""name"": ""movement_stiffness"", ""confidence"": 0.596051323323925}, {""name"": ""painful_walking"", ""confidence"": 0.2908211080000664}]",diclofenac|stelara|enbrel,naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0083,I have this weird skin rash and I'm always exhausted. Do you think these are related?,"[{""name"": ""fungal_infection"", ""confidence"": 0.3}, {""name"": ""psoriasis"", ""confidence"": 0.11}]","[{""name"": ""fatigue"", ""confidence"": 1.0}, {""name"": ""skin_rash"", ""confidence"": 0.9902459251080655}]",doxycycline|prednisone|metronidazole|clobetasol|prednisone|methylprednisolone,tretinoin|doxycycline|spironolactone|liraglutide,0.2,0.25,1.0,0.413557,0.1,0.25,1.0,0.413557,0.05,0.25,1.0,0.413557,1.0
eval_0065,"I feel dizzy and weak, with a fast heartbeat and cold hands. I'm really worried about what's happening.","[{""name"": ""hyperthyroidism"", ""confidence"": 1.0}]","[{""name"": ""dizziness"", ""confidence"": 0.6653286525767088}, {""name"": ""fast_heart_rate"", ""confidence"": 0.9764913277533745}, {""name"": ""muscle_weakness"", ""confidence"": 1.0}]",clonidine|catapres|onabotulinumtoxina,thyroid desiccated|armour thyroid|levothyroxine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0084,"I can't breathe properly, my heart is pounding, and I have a high fever. I'm really worried.","[{""name"": ""pneumonia"", ""confidence"": 1.0}]","[{""name"": ""breathlessness"", ""confidence"": 0.9104492209607016}, {""name"": ""fast_heart_rate"", ""confidence"": 1.0}, {""name"": ""high_fever"", ""confidence"": 1.0}]",azithromycin|ceftriaxone|zyvox,doxycycline|azithromycin|prednisone|clindamycin,0.2,0.25,1.0,0.444172,0.1,0.25,1.0,0.444172,0.05,0.25,1.0,0.444172,1.0
eval_0078,"I sneeze a lot when I'm around pets, and my eyes get watery. How can I manage this?","[{""name"": ""allergy"", ""confidence"": 1.0}]","[{""name"": ""continuous_sneezing"", ""confidence"": 1.0}, {""name"": ""watering_from_eyes"", ""confidence"": 1.0}]",cyproheptadine|promethazine|prednisone,prednisone|promethazine,0.4,1.0,1.0,0.693426,0.2,1.0,1.0,0.693426,0.1,1.0,1.0,0.693426,0.5
eval_0063,Chest pain and dizziness occurring occasionally? Stay informed about heart health risks!,"[{""name"": ""hypertension"", ""confidence"": 0.85}]","[{""name"": ""chest_pain"", ""confidence"": 1.0}, {""name"": ""dizziness"", ""confidence"": 0.48141217672738496}]",propranolol|spironolactone|azor,propranolol|verapamil|metoprolol|spironolactone,0.4,0.5,1.0,0.587507,0.2,0.5,1.0,0.587507,0.1,0.5,1.0,0.587507,1.0
eval_0089,These blackheads on my nose won't go away no matter what I try. Should I see a dermatologist?,"[{""name"": ""acne"", ""confidence"": 1.0}]","[{""name"": ""blackheads"", ""confidence"": 0.9999730580260975}]",isotretinoin|accutane|benzoyl peroxide / clindamycin,adapalene / benzoyl peroxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0075,"Last night, I woke up unable to breathe properly, coughing non-stop with thick phlegm. It was terrifying.","[{""name"": ""bronchial_asthma"", ""confidence"": 0.9}]","[{""name"": ""breathlessness"", ""confidence"": 1.0}, {""name"": ""cough"", ""confidence"": 0.7497717147141255}, {""name"": ""mucoid_sputum"", ""confidence"": 0.7902317174988344}]",prednisone|xopenex|levalbuterol,prednisone,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0
